226111000010001,7802901,        ,7802901,OMR01
226111000010002,7802902,********,7802902,OMR01
226111000010003,7802903,12341632,7802903,OMR01
226111000010004,7802904,12341632,7802904,OMR01
226111000010005,7802905,12341632,7802905,OMR01
226111000010006,7802906,12341632,7802906,OMR01
226111000010007,7802907,12341632,7802907,OMR01
226111000010008,7802908,123 1632,7802908,OMR01
226111000010009,7802909,12341632,7802909,OMR01
226111000010010,7802910,12341632,7802910,OMR01
226111000010011,7802911,12341632,7802911,OMR01
226111000010012,7802912,12341632,7802912,OMR01
226111000010013,7802913,1*3416*2,7802913,OMR01
226111000010014,7802914,12341632,7802914,OMR01
226111000010015,7802915,1234*632,7802915,OMR01
226111000010016,7802916,12341632,7802916,OMR01
226111000010017,7802917,12341632,7802917,OMR01
226111000010018,7802918,12341632,7802918,OMR01
226111000010019,7802919,123416*2,7802919,OMR01
226111000010020,7802920,12341632,7802920,OMR01
226111000010021,7802921,123  632,7802921,OMR01
226111000010022,7802922,12341632,7802922,OMR01
226111000010023,7802923,12341632,7802923,OMR01
226111000010024,7802924,12341632,7802924,OMR01
226111000010025,7802925,12341632,7802925,OMR01
226111000010026,7802926,1 341632,7802926,OMR01
226111000010027,7802927,12341632,7802927,OMR01
226111000010028,7802928,12341632,7802928,OMR01
226111000010029,7802929,12341632,7802929,OMR01
226111000010030,7802930,12341632,7802930,OMR01
226111000010031,7802931,12341632,7802931,OMR01
226111000010032,7802932,12341632,7802932,OMR01
226111000010033,7802933,12341632,7802933,OMR01
226111000010034,7802934,12341632,7802934,OMR01
226111000010035,7802935,12341632,7802935,OMR01
226111000010036,7802936,        ,7802936,OMR01
226111000010037,7802937,12341632,7802937,OMR01
226111000010038,7802938,12341632,7802938,OMR01
226111000010039,7802939,12341632,7802939,OMR01
226111000010040,7802940,12341632,7802940,OMR01
226111000010041,7802941,12341632,7802941,OMR01
226111000010042,7802942,12341632,7802942,OMR01
226111000010043,7802943,12341632,7802943,OMR01
226111000010044,7802944,12 41632,7802944,OMR01
226111000010045,7802945,12341632,7802945,OMR01
226111000010046,7802946,12341632,7802946,OMR01
226111000010047,7802947,12341632,7802947,OMR01
226111000010048,7802948,12341632,7802948,OMR01
226111000010049,7802949,12**1632,7802949,OMR01
226111000010050,7802950,*******1,7802950,OMR01
