226111000020001,7802801,        ,7802801,OMR02
226111000020002,7802802,********,7802801,OMR02
226111000020003,7802803,12341632,7802803,OMR02
226111000020004,7802804,12341632,7802804,OMR02
226111000020005,7802805,12341632,7802805,OMR02
226111000020006,7802806,12341632,7802806,OMR02
226111000020007,7802807,12341632,7802807,OMR02
226111000020008,7802808,123 1632,7802808,OMR02
226111000020009,7802809,12341632,7802809,OMR02
226111000020010,7802810,12341632,7802810,OMR02
226111000020011,7802811,12341632,7802811,OMR02
226111000020012,7802812,12341632,7802812,OMR02
226111000020013,7802813,1*3416*2,7802813,OMR02
226111000020014,7802814,12341632,7802814,OMR02
226111000020015,7802815,1234*632,7802815,OMR02
226111000020016,7802816,12341632,7802816,OMR02
226111000020017,7802817,12341632,7802817,OMR02
226111000020018,7802818,12341632,7802818,OMR02
226111000020019,7802819,123416*2,7802819,OMR02
226111000020020,7802820,12341632,7802820,OMR02
226111000020021,7802821,123  632,7802821,OMR02
226111000020022,7802822,12341632,7802822,OMR02
226111000020023,7802823,12341632,7802823,OMR02
226111000020024,7802824,12341632,7802824,OMR02
226111000020025,7802825,12341632,7802825,OMR02
226111000020026,7802826,1 341632,7802826,OMR02
226111000020027,7802827,12341632,7802827,OMR02
226111000020028,7802828,12341632,7802828,OMR02
226111000020029,7802829,12341632,7802829,OMR02
226111000020030,7802830,12341632,7802830,OMR02
226111000020031,7802831,12341632,7802831,OMR02
226111000020032,7802832,12341632,7802832,OMR02
226111000020033,7802833,12341632,7802833,OMR02
226111000020034,7802834,12341632,7802834,OMR02
226111000020035,7802835,12341632,7802835,OMR02
226111000020036,7802836,        ,7802836,OMR02
226111000020037,7802837,12341632,7802837,OMR02
226111000020038,7802838,12341632,7802838,OMR02
226111000020039,7802839,12341632,7802839,OMR02
226111000020040,7802840,12341632,7802840,OMR02
226111000020041,7802841,12341632,7802841,OMR02
226111000020042,7802842,12341632,7802842,OMR02
226111000020043,7802843,12341632,7802843,OMR02
226111000020044,7802844,12 41632,7802844,OMR02
226111000020045,7802845,12341632,7802845,OMR02
226111000020046,7802846,12341632,7802846,OMR02
226111000020047,7802847,12341632,7802847,OMR02
226111000020048,7802848,12341632,7802848,OMR02
226111000020049,7802849,12**1632,7802850,OMR02
226111000020050,7802850,12341632,7802850,OMR02
